Time,0.0V,2.5V,3.0V,3.5V,4.0V,4.5V,5.0V
0:00:00,0,0,0,0,0,0,0
0:30:00,0,0,0,0,0,0,0
1:00:00,0,0,0,0,0,0,0
1:30:00,0,0,0,0,0,0,30
2:00:00,0,0,0,30,50,0,80
2:30:00,0,0,0,60,100,50,130
3:00:00,0,0,0,90,130,80,180
3:30:00,0,0,0,140,190,130,240
4:00:00,0,0,20,170,250,160,300
4:30:00,0,0,50,230,280,190,380
5:00:00,0,0,50,260,350,240,410
5:30:00,0,0,80,320,380,280,490
6:00:00,0,0,100,350,460,310,530
6:30:00,0,0,130,390,500,380,580
7:00:00,0,20,130,430,570,420,640
7:30:00,0,20,150,470,610,450,710
8:00:00,0,60,180,530,680,510,780
8:30:00,0,60,200,580,720,550,850
9:00:00,0,60,200,620,780,620,940
9:30:00,0,90,230,650,820,690,980
10:00:00,0,90,260,690,880,720,1050
10:30:00,0,120,290,750,940,780,1120
11:00:00,0,120,290,780,1010,820,1190
11:30:00,0,120,310,840,1060,860,1240
12:00:00,0,140,330,870,1120,920,1300
12:30:00,0,140,360,910,1190,960,1360
13:00:00,0,170,390,950,1250,1000,1420
13:30:00,0,170,420,1020,1300,1060,1490
14:00:00,0,200,420,1060,1370,1130,1560
14:30:00,0,200,450,1090,1450,1160,1650
15:00:00,0,200,480,1140,1520,1220,1710
15:30:00,0,230,520,1200,1590,1250,1790
16:00:00,0,230,550,1240,1630,1300,1860
16:30:00,0,270,550,1280,1690,1340,1930
17:00:00,0,270,590,1340,1730,1390,2000
17:30:00,0,300,620,1380,1790,1420,2100
18:00:00,0,300,620,1430,1860,1480,2170
18:30:00,0,330,650,1500,1930,1540,2230
19:00:00,0,370,690,1530,1980,1570,2300
19:30:00,0,370,690,1560,2020,1620,2360
20:00:00,0,370,720,1620,2090,1670,2420
20:30:00,0,400,750,1650,2150,1740,2520
21:00:00,0,400,780,1690,2220,1770,2580
21:30:00,0,440,800,1730,2260,1820,2630
22:00:00,0,440,830,1760,2300,1880,2700
22:30:00,0,470,870,1810,2400,1910,2770
23:00:00,0,470,870,1840,2460,1960,2830
23:30:00,0,510,900,1870,2540,2020,2930
24:00:00,0,510,930,1910,2580,2080,2990
